HYBAS_ID_08,PFAF_ID,PFAF_ID_07,SUB_AREA,ele_mt_sav,DIST_SINK,Stream,axis,relief_class,delta_E_m,f_up_recomputed,split_degenerate
1080099860,15180901,1518090,238.2,353,333.2,Downstream,elevation,high,1205.7,0.4927148017370835,False
1080101860,15180902,1518090,894.3,909,355.5,Downstream,elevation,high,1205.7,0.4927148017370835,False
1080101910,15180903,1518090,163.1,357,355.6,Downstream,elevation,high,1205.7,0.4927148017370835,False
1080102710,15180905,1518090,1252.4,1121,372.4,Downstream,elevation,high,1205.7,0.4927148017370835,False
1080102700,15180904,1518090,419.3,924,372.6,Downstream,elevation,high,1205.7,0.4927148017370835,False
1080105960,15180906,1518090,782.4,1332,422.0,Downstream,elevation,high,1205.7,0.4927148017370835,False
1080106060,15180907,1518090,401.3,1163,422.2,Upstream,elevation,high,1205.7,0.4927148017370835,False
1080107520,15180909,1518090,1907.3,1784,439.9,Upstream,elevation,high,1205.7,0.4927148017370835,False
1080107530,15180908,1518090,1333.4,1751,439.9,Upstream,elevation,high,1205.7,0.4927148017370835,False
2080434610,22340961,2234096,174.4,138,954.5,Downstream,topology_pfaf,low,42.5,0.5170539582512801,False
2080434520,22340963,2234096,242.1,132,969.7,Downstream,topology_pfaf,low,42.5,0.5170539582512801,False
2080434430,22340962,2234096,252.1,151,969.8,Downstream,topology_pfaf,low,42.5,0.5170539582512801,False
2080431060,22340964,2234096,1969.2,170,1000.2,Upstream,topology_pfaf,low,42.5,0.5170539582512801,False
2080431050,22340965,2234096,266.9,152,1000.3,Downstream,topology_pfaf,low,42.5,0.5170539582512801,False
2080428470,22340966,2234096,111.8,175,1026.3,Downstream,topology_pfaf,low,42.5,0.5170539582512801,False
2080428370,22340967,2234096,71.9,153,1026.5,Downstream,topology_pfaf,low,42.5,0.5170539582512801,False
2080426510,22340969,2234096,553.4,182,1036.4,Downstream,topology_pfaf,low,42.5,0.5170539582512801,False
2080426790,22340968,2234096,166.7,178,1036.6,Downstream,topology_pfaf,low,42.5,0.5170539582512801,False
2080390940,22397001,2239700,199.3,133,1404.8,Downstream,topology_pfaf,low,46.1,0.5776202140002579,False
2080386580,22397003,2239700,85.3,125,1428.8,Downstream,topology_pfaf,low,46.1,0.5776202140002579,False
2080386860,22397002,2239700,1480.0,179,1428.8,Downstream,topology_pfaf,low,46.1,0.5776202140002579,False
2080384020,22397004,2239700,1511.8,184,1441.9,Downstream,topology_pfaf,low,46.1,0.5776202140002579,False
2080384030,22397005,2239700,393.9,138,1442.1,Upstream,topology_pfaf,low,46.1,0.5776202140002579,False
2080378770,22397007,2239700,652.5,152,1469.8,Upstream,topology_pfaf,low,46.1,0.5776202140002579,False
2080378980,22397006,2239700,430.0,179,1469.9,Upstream,topology_pfaf,low,46.1,0.5776202140002579,False
2080370390,22397009,2239700,1776.7,174,1524.0,Upstream,topology_pfaf,low,46.1,0.5776202140002579,False
2080370600,22397008,2239700,1227.5,190,1524.1,Upstream,topology_pfaf,low,46.1,0.5776202140002579,False
2080529010,22400821,2240082,1.6,2,19.3,Downstream,topology_pfaf,low,267.1,0.7719377299988198,False
