HYBAS_ID_08,NEXT_DOWN,PFAF_ID,PFAF_ID_07,SUB_AREA,ele_mt_sav,DIST_SINK
2080349210,2080350340,28324485,2832448,408.0,462,3000.0
2080349100,2080350340,28324484,2832448,821.0,494,3000.1
2080316480,2080322620,28395004,2839500,1594.7,141,3014.2
2080316390,2080322620,28395005,2839500,14.6,96,3014.4
2080315220,2080316390,28395007,2839500,1206.9,119,3021.3
2080315230,2080316390,28395006,2839500,1031.7,118,3021.3
2080347660,2080349210,28324487,2832448,201.0,492,3047.6
2080347860,2080349210,28324486,2832448,221.3,583,3047.6
2080344810,2080347660,28324488,2832448,308.2,576,3070.4
2080344800,2080347660,28324489,2832448,758.4,588,3070.5
2080311320,2080315220,28395009,2839500,340.3,131,3120.8
2080311230,2080315220,28395008,2839500,1239.6,135,3121.1
2080312460,2080310820,28397021,2839702,1501.2,166,3163.5
2080321040,2080312460,28397023,2839702,48.0,166,3263.1
2080320970,2080312460,28397022,2839702,338.0,181,3263.2
2080321200,2080321040,28397025,2839702,33.7,173,3271.3
2080321270,2080321040,28397024,2839702,275.1,193,3271.4
2080321540,2080321200,28397027,2839702,134.8,191,3275.9
2080321420,2080321200,28397026,2839702,267.5,198,3275.9
2080263900,2080265540,28366481,2836648,37.9,134,3280.1
2080263250,2080263900,28366482,2836648,1235.2,166,3287.7
2080263260,2080263900,28366483,2836648,23.8,132,3287.8
2080322190,2080321540,28397029,2839702,571.2,219,3293.5
2080322230,2080321540,28397028,2839702,299.7,203,3293.6
2080263560,2080263260,28366485,2836648,298.4,154,3293.9
2080263650,2080263260,28366484,2836648,449.3,154,3294.0
2080261280,2080263560,28366487,2836648,252.3,161,3334.0
2080261190,2080263560,28366486,2836648,484.7,191,3334.2
2080262530,2080261280,28366488,2836648,180.3,164,3353.6
2080262470,2080261280,28366489,2836648,234.8,170,3353.8
2080248700,2080247010,28329991,2832999,940.6,247,3517.3
2080251380,2080248700,28329992,2832999,295.9,260,3545.4
2080251390,2080248700,28329993,2832999,360.8,248,3545.5
2080253040,2080251390,28329995,2832999,18.8,221,3565.8
2080253110,2080251390,28329994,2832999,359.3,259,3565.9
2080253470,2080253040,28329997,2832999,98.1,243,3571.0
2080253580,2080253040,28329996,2832999,368.2,260,3571.1
2080255020,2080253470,28329998,2832999,395.4,262,3586.0
2080255010,2080253470,28329999,2832999,1191.9,266,3586.1
2080070250,0,28470071,2847007,468.4,342,0.0
2080070280,0,28470072,2847007,402.0,545,0.0
2080070290,0,28470073,2847007,1131.7,814,0.0
2080070340,0,28470074,2847007,598.0,1396,0.0
2080070350,0,28470075,2847007,83.8,116,0.0
2080070360,0,28470076,2847007,301.0,1270,0.0
2080070370,0,28470077,2847007,502.8,633,0.0
2080070400,0,28470078,2847007,365.1,1189,0.0
2080070410,0,28470079,2847007,193.5,639,0.0
2080855780,2080856790,29210991,2921099,118.6,2031,321.9
2080855500,2080855780,29210993,2921099,107.1,1866,330.6
2080855600,2080855780,29210992,2921099,276.4,2205,330.7
2080854660,2080855500,29210995,2921099,411.2,2057,342.7
2080854450,2080855500,29210994,2921099,500.2,2356,342.7
2080854270,2080854660,29210997,2921099,150.0,2138,369.6
2080854170,2080854660,29210996,2921099,533.5,2481,369.8
2080854020,2080854270,29210999,2921099,1005.5,2493,373.9
2080854100,2080854270,29210998,2921099,763.2,2236,373.9
