HYBAS_ID_08,PFAF_ID_07,s_T300,s_T400,s_T500,s_T600,s_T700,s_T800,s_ELEVDEF,s_AREA50
2080337600,2256060,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Downstream
2080337590,2256060,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080337670,2259020,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080337570,2259020,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Upstream
2080334090,2256060,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080334040,2256060,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Downstream
2080369590,2252060,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080402250,2254502,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080402390,2254502,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080331590,2259020,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Upstream
2080331500,2259020,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080365640,2252060,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080365830,2252060,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080330500,2259020,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080330420,2259020,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080405460,2254502,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080405470,2254502,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080333490,2256090,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080327280,2256060,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080327270,2256060,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080326680,2256060,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080326690,2256060,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080360860,2252060,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080360850,2252060,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080334320,2256090,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080334560,2256090,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080355550,2252060,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080355410,2252060,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080354860,2252060,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080354850,2252060,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080331950,2256090,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream
2080331940,2256090,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080328150,2256090,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080328020,2256090,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream
2080329690,2256090,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080329650,2256090,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080476020,2260635,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080469130,2260635,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080468980,2260635,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080468320,2260635,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080468310,2260635,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080465780,2260635,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080465770,2260635,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080464590,2260635,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080464430,2260635,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080466960,2260640,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080451660,2260640,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Upstream
2080451650,2260640,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080442340,2260640,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Upstream
2080442220,2260640,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080440300,2260640,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080440230,2260640,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080439670,2260640,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080439660,2260640,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080538490,2272040,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080530800,2272040,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080530710,2272040,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080528260,2272040,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Upstream
2080528140,2272040,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080519820,2272040,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080519750,2272040,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Upstream
2080517700,2272040,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080517600,2272040,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080557740,2273208,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080557000,2273208,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream
2080556940,2273208,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080556070,2273208,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream
2080555940,2273208,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080549440,2273208,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream
2080549430,2273208,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream
2080470990,2271088,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080469120,2271088,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080468960,2271088,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080468950,2271088,Downstream,Downstream,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream
2080468790,2271088,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
