PFAF_ID_07,n_children,delta_E_m,axis,relief_class,f_up_area,multi_outlet,split_degenerate
2429400,9,47.0,topology_pfaf,low,0.801,False,False
2429502,9,36.4,topology_pfaf,low,0.549,False,False
2429507,9,64.5,topology_pfaf,low,0.172,True,False
2429630,9,24.2,topology_pfaf,low,0.477,False,False
2429620,9,49.6,topology_pfaf,low,0.524,False,False
2429650,9,74.1,topology_pfaf,low,0.333,False,False
2429649,9,30.6,topology_pfaf,low,0.623,False,False
2429676,9,85.1,topology_pfaf,low,0.322,False,False
2429690,9,94.8,topology_pfaf,low,0.3,False,False
2429809,9,47.0,topology_pfaf,low,0.584,False,False
2432300,9,68.5,topology_pfaf,low,0.436,False,False
2432220,9,156.4,topology_pfaf,low,0.214,False,False
2432412,9,90.6,topology_pfaf,low,0.477,False,False
2432420,9,136.8,topology_pfaf,low,0.759,False,False
2432440,9,118.3,topology_pfaf,low,0.466,False,False
2432260,9,19.1,topology_pfaf,low,0.586,False,False
2432270,9,14.5,topology_pfaf,low,0.518,False,False
2432509,9,12.9,topology_pfaf,low,0.342,False,False
2432286,9,61.1,topology_pfaf,low,0.517,False,False
2432497,9,78.9,topology_pfaf,low,0.557,False,False
2432296,9,45.0,topology_pfaf,low,0.296,False,False
2432860,9,85.6,topology_pfaf,low,0.733,False,False
2432299,9,69.6,topology_pfaf,low,0.638,False,False
2432288,9,30.2,topology_pfaf,low,0.301,False,False
2432890,9,63.4,topology_pfaf,low,0.407,False,False
2432904,9,29.3,topology_pfaf,low,0.52,False,False
2434001,9,49.3,topology_pfaf,low,0.332,False,False
2434003,9,25.1,topology_pfaf,low,0.648,False,False
2434004,9,31.0,topology_pfaf,low,0.329,False,False
2434009,9,50.0,topology_pfaf,low,0.54,False,False
2435109,9,29.5,topology_pfaf,low,0.202,True,False
2435204,9,41.6,topology_pfaf,low,0.709,False,False
2435206,9,17.1,topology_pfaf,low,0.518,False,False
2435209,9,48.7,topology_pfaf,low,0.173,False,False
2435400,9,97.0,topology_pfaf,low,0.316,False,False
2435600,9,86.2,topology_pfaf,low,0.687,False,False
2435706,9,161.5,topology_pfaf,low,0.698,False,False
2435800,9,93.8,topology_pfaf,low,0.534,False,False
2435902,8,101.8,topology_pfaf,low,0.246,False,False
2436007,9,41.9,topology_pfaf,low,0.491,False,False
2436006,9,50.7,topology_pfaf,low,0.514,False,False
2437004,9,167.5,topology_pfaf,low,0.281,False,False
2438030,9,68.3,topology_pfaf,low,0.514,False,False
2438060,9,56.4,topology_pfaf,low,0.506,False,False
2438082,9,52.1,topology_pfaf,low,0.541,False,False
2442030,9,84.2,topology_pfaf,low,0.264,False,False
2442020,9,67.6,topology_pfaf,low,0.476,False,False
2442060,9,412.5,topology_pfaf,mixed,0.352,False,False
2442070,9,402.7,topology_pfaf,mixed,0.219,False,False
2442049,9,323.0,topology_pfaf,mixed,0.66,False,False
2443300,9,214.1,topology_pfaf,low,0.669,True,False
2443404,9,593.4,topology_pfaf,mixed,0.529,False,False
2443502,9,483.2,topology_pfaf,mixed,0.614,False,False
2443506,9,263.6,topology_pfaf,low,0.21,False,False
2443605,9,76.8,topology_pfaf,low,0.298,False,False
2443802,9,508.2,topology_pfaf,mixed,0.294,False,False
2443803,9,111.4,topology_pfaf,low,0.612,False,False
2443906,9,213.9,topology_pfaf,low,0.245,False,False
2444040,9,230.4,topology_pfaf,low,0.866,False,False
2445025,9,85.7,topology_pfaf,low,0.638,False,False
2445024,9,315.1,topology_pfaf,mixed,0.438,False,False
2445029,9,286.3,topology_pfaf,low,0.599,False,False
2445028,9,125.0,topology_pfaf,low,0.464,False,False
2445044,9,83.2,topology_pfaf,low,0.644,False,False
2445089,9,256.2,topology_pfaf,low,0.705,False,False
2445090,7,169.2,topology_pfaf,low,0.414,True,False
2446004,9,322.7,topology_pfaf,mixed,0.345,False,False
2446005,9,84.0,topology_pfaf,low,0.424,False,False
2446009,9,215.6,topology_pfaf,low,0.268,False,False
2447202,9,22.2,topology_pfaf,low,0.513,False,False
2447206,9,92.7,topology_pfaf,low,0.261,False,False
2447209,9,195.4,topology_pfaf,low,0.359,False,False
2447300,8,40.2,topology_pfaf,low,0.44,True,False
2447502,9,127.6,topology_pfaf,low,0.595,False,False
2447600,9,129.7,topology_pfaf,low,0.665,False,False
2447800,9,109.3,topology_pfaf,low,0.345,False,False
2448010,9,40.9,topology_pfaf,low,0.297,False,False
2448060,9,244.5,topology_pfaf,low,0.436,False,False
2449000,8,104.8,topology_pfaf,low,0.296,True,False
2510210,9,194.3,topology_pfaf,low,0.333,False,False
2510230,9,185.7,topology_pfaf,low,0.668,False,False
2510240,9,391.8,topology_pfaf,mixed,0.573,False,False
2510229,9,370.4,topology_pfaf,mixed,0.762,False,False
2510290,9,131.8,topology_pfaf,low,0.463,False,False
2510300,9,307.4,topology_pfaf,mixed,0.221,True,False
2510404,9,636.1,elevation,high,0.437,False,False
2510406,9,582.8,topology_pfaf,mixed,0.708,False,False
2510500,9,680.0,elevation,high,0.74,True,False
2510602,9,800.6,elevation,high,0.581,False,False
2510720,9,504.3,topology_pfaf,mixed,0.654,False,False
2510740,9,810.6,elevation,high,0.766,False,False
2510757,9,538.9,topology_pfaf,mixed,0.331,True,False
2510759,9,580.4,topology_pfaf,mixed,0.316,True,False
2510760,9,673.0,elevation,high,0.693,False,False
2510780,9,445.9,topology_pfaf,mixed,0.674,False,False
2510799,9,99.4,topology_pfaf,low,0.368,True,False
2510800,9,314.0,topology_pfaf,mixed,0.809,False,False
2510920,9,306.4,topology_pfaf,mixed,0.582,False,False
2510970,9,313.5,topology_pfaf,mixed,0.402,True,False
2510997,9,245.0,topology_pfaf,low,0.749,True,False
2510999,8,117.6,topology_pfaf,low,0.46,True,False
2521020,9,487.0,topology_pfaf,mixed,0.517,False,False
2521051,9,284.1,topology_pfaf,low,0.683,True,False
2521064,9,114.2,topology_pfaf,low,0.452,False,False
2521070,9,111.1,topology_pfaf,low,0.265,True,False
2521080,9,128.4,topology_pfaf,low,0.572,False,False
2522003,9,58.8,topology_pfaf,low,0.423,False,False
2522007,9,173.7,topology_pfaf,low,0.428,False,False
